month,day,year,event,category,source
3,15,-44,Julius Caesar assassinated by Roman senators,Politics,Wikipedia
3,15,493,Odoacer defeats the Ostrogoths and kills their king Theodoric Strabo,History,Wikipedia
3,15,933,Emperor Romanos II born,History,Wikipedia
3,15,1148,Conrad III of Germany proclaimed king,Politics,Wikipedia
3,15,1311,Begin of the Councils of Toulouse,History,Wikipedia
3,15,1493,Christopher Columbus returns to Spain after his first voyage to the Americas,History,Wikipedia
3,15,1560,Conquest of Potosí by the Spanish,History,Wikipedia
3,15,1626,Potosi dam collapse kills thousands,Disasters,Wikipedia
3,15,1672,Charles II of England adjourns Parliament,Politics,Wikipedia
3,15,1781,American Revolutionary War: Battle of Guilford Court House,History,Wikipedia
3,15,1783,American Revolutionary War: Washington proclaims end of hostilities,History,Wikipedia
3,15,1820,Maine becomes 23rd U.S. state,Politics,Wikipedia
3,15,1848,Hungarian Revolution of 1848 begins,History,Wikipedia
3,15,1875,Archbishop of New York John McCloskey elevated to cardinal,History,Wikipedia
3,15,1892,Essex cricket team founded,History,Wikipedia
3,15,1892,New York State appoints first female judge,Politics,Wikipedia
3,15,1906,Rolls-Royce Limited founded,History,Wikipedia
3,15,1917,Tsar Nicholas II abdicates,Politics,Wikipedia
3,15,1918,First German victory medal awarded,History,Wikipedia
3,15,1919,Paris Peace Conference: Germany accepts Allied terms,Politics,Wikipedia
3,15,1921,Assassination of Talaat Pasha,History,Wikipedia
3,15,1924,Finland's first presidential election,Politics,Wikipedia
3,15,1926,Germany occupies Memel Territory,Politics,Wikipedia
3,15,1933,Nazi Germany: Enabling Act passed,Politics,Wikipedia
3,15,1939,German troops occupy Czechoslovakia,Politics,Wikipedia
3,15,1939,Carpatho-Ukraine declares independence from Czechoslovakia,Politics,Wikipedia
3,15,1941,Philippines: Commonwealth government flees to Corregidor,History,Wikipedia
3,15,1944,World War II: Allies liberate Mytilene,History,Wikipedia
3,15,1951,International Table Tennis Federation founded,History,Wikipedia
3,15,1952,US performs nuclear test at Nevada Test Site,History,Wikipedia
3,15,1956,My Lai massacre,History,Wikipedia
3,15,1960,South Africa: Sharpeville massacre,History,Wikipedia
3,15,1961,1961 Start of the South Vietnamese coup,Politics,Wikipedia
3,15,1965,US: LBJ calls for voting rights legislation,Politics,Wikipedia
3,15,1970,South Yemen: Coup d'état,Politics,Wikipedia
3,15,1974,Iran: Caravelle crash kills 346,Disasters,Wikipedia
3,15,1985,US: Capital punishment legalized in 36 states,Politics,Wikipedia
3,15,1986,Collapse of Hotel New World in Singapore kills 33,Disasters,Wikipedia
3,15,1989,USSR: Gorbachev elected first executive president,Politics,Wikipedia
3,15,1990,USSR: Gorbachev elected president,Politics,Wikipedia
3,15,1991,UN: International Convention on the Protection of the Rights of All Migrant Workers adopted,Politics,Wikipedia
3,15,2003,Albania: Munitions explosion kills 26,Disasters,Wikipedia
3,15,2011,Syrian Civil War begins with protests,History,Wikipedia
3,15,2019,New Zealand: Christchurch mosque shootings kill 51,Disasters,Wikipedia
3,15,2019,Hong Kong: Protests against extradition bill,Politics,Wikipedia
3,15,2019,Global youth climate strikes in 123 countries,History,Wikipedia
3,15,2022,Sri Lanka: Protests against government,Politics,Wikipedia
3,15,1767,Al-Qasim al-Rassi dies,History,Wikipedia
3,15,1810,Alexandre de Rhodes dies,History,Wikipedia
3,15,1662,Shunzhi Emperor dies,History,Wikipedia
3,15,1735,George Bähr dies,History,Wikipedia
3,15,1842,Luigi Cherubini dies,History,Wikipedia
3,15,1848,François-René de Chateaubriand dies,History,Wikipedia
3,15,1859,Alexander von Humboldt dies,History,Wikipedia
3,15,1874,Charles Sumner dies,History,Wikipedia
3,15,1897,James Joseph Sylvester dies,History,Wikipedia
3,15,1898,Henry Bessemer dies,History,Wikipedia
3,15,1921,Talat Pasha dies,History,Wikipedia
3,15,1936,James Jackson born,History,Wikipedia
3,15,1937,Al-Qasim al-Rassi born,Births,Wikipedia
3,15,1767,Al-Qasim al-Rassi born,Births,Wikipedia
3,15,1593,Alexandre de Rhodes born,Births,Wikipedia
3,15,1638,Shunzhi Emperor born,Births,Wikipedia
3,15,1667,George Bähr born,Births,Wikipedia
3,15,1767,Al-Qasim al-Rassi born,Births,Wikipedia
3,15,1791,Charles Knight born,Births,Wikipedia
3,15,1809,Joseph Jenkins Roberts born,Births,Wikipedia
3,15,1813,John Snow born,Births,Wikipedia
3,15,1821,Joseph Loschmidt born,Births,Wikipedia
3,15,1824,William Lamb, 2nd Viscount Melbourne born,Births,Wikipedia
3,15,1830,Élisée Reclus born,Births,Wikipedia
3,15,1830,Emily Murphy born,Births,Wikipedia
3,15,1851,William Mitchell Ramsay born,Births,Wikipedia
3,15,1852,Augusta, Lady Gregory born,Births,Wikipedia
3,15,1858,Emil von Behring born,Births,Wikipedia
3,15,1859,Christian Michelsen born,Births,Wikipedia
3,15,1859,Liberty Hyde Bailey born,Births,Wikipedia
3,15,1866,Matthew Charlton born,Births,Wikipedia
3,15,1868,Grace Chisholm Young born,Births,Wikipedia
3,15,1869,Stanisław Wojciechowski born,Births,Wikipedia
3,15,1874,Harold L. Ickes born,Births,Wikipedia
3,15,1878,Reza Shah born,Births,Wikipedia
3,15,1881,Gerda Wegener born,Births,Wikipedia
3,15,1892,Gilberto Freyre born,Births,Wikipedia
3,15,1904,George Brent born,Births,Wikipedia
3,15,1916,Frank Coghlan Jr. born,Births,Wikipedia
3,15,1917,Andrew Jacks born,Births,Wikipedia
3,15,1919,Lawrence Tierney born,Births,Wikipedia
3,15,1920,Richard Ellmann born,Births,Wikipedia
3,15,1926,Punch Imlach born,Births,Wikipedia
3,15,1930,Martin Karplus born,Births,Wikipedia
3,15,1931,Richard Dees born,Births,Wikipedia
3,15,1933,Ruth Bader Ginsburg born,Births,Wikipedia
3,15,1935,Jules Feiffer born,Births,Wikipedia
3,15,1937,Alan Bean born,Births,Wikipedia
3,15,1937,David Cronenberg born,Births,Wikipedia
3,15,1940,Robert Guza Jr. born,Births,Wikipedia
3,15,1941,Robert Nye born,Births,Wikipedia
3,15,1943,David Cronenberg born,Births,Wikipedia
4,1,527,Justinian I becomes sole ruler of the Byzantine Empire.,History,Wikipedia
4,1,527,Theodora marries Justinian I.,History,Wikipedia
4,1,527,The Pantokrator Monastery is founded in Constantinople.,History,Wikipedia
4,1,1500s,Early modern wars occur between 1500 and 1775.,Military,Wikipedia
4,1,1700s,Bach's cantata BWV 249 is performed.,History,Wikipedia
4,1,1789,The U.S. House of Representatives holds its first quorum.,Politics,Wikipedia
4,1,1836,The Alamo defenders are studied in critical analysis.,Military,Wikipedia
4,1,1945,U.S. Army infantry operations are documented.,Military,Wikipedia
4,1,1959,Singapore's area handbook is published.,Politics,Wikipedia
4,1,1873,The SS Atlantic sinks off Nova Scotia.,Disasters,Wikipedia
4,1,1900,The Statistical Year-Book of Canada for 1899 is released.,History,Wikipedia
4,1,1906,Twentieth Century Music book is published.,History,Wikipedia
4,1,1908,The Territorial Army is formed in the UK.,Military,Wikipedia
4,1,1918,RAF timeline events from 1918-1929.,Military,Wikipedia
4,1,1920,The Belfast Pogrom occurs.,Disasters,Wikipedia
4,1,1923,Press and Politics in the Weimar Republic events.,Politics,Wikipedia
4,1,1924,The Royal Canadian Air Force history is documented.,Military,Wikipedia
4,1,1925,Julius Streicher biography events.,Politics,Wikipedia
4,1,1935,The Reserve Bank of India is established.,Politics,Wikipedia
4,1,1937,The Royal New Zealand Air Force is formed.,Military,Wikipedia
4,1,1939,The Spanish Civil War ends.,Military,Wikipedia
4,1,1941,The Fântâna Albă massacre occurs in Romania.,Disasters,Wikipedia
4,1,1941,Iraqi coup takes place.,Politics,Wikipedia
